,route,mean_delay_route
333,AUSSFB,4.0
334,AUSSFO,3.558139534883721
335,AUSSJC,-6.235294117647059
336,AUSSLC,-4.090909090909091
337,AUSSMF,-0.8333333333333334
338,AUSSNA,23.5
339,AUSSTL,1.9230769230769231
340,AUSTPA,-2.142857142857143
341,AUSVPS,14.0
342,AVLATL,-0.6818181818181818
343,AVLBWI,64.0
344,AVLCLT,-1.5
345,AVLEWR,-0.5714285714285714
346,AVLFLL,2.1666666666666665
347,AVLIAD,15.0
348,AVLLGA,29.0
349,AVLORD,1.75
350,AVLPGD,13.5
351,AVLPIE,-1.1666666666666667
352,AVLSFB,2.6666666666666665
353,AVPATL,12.666666666666666
354,AVPCLT,0.15384615384615385
355,AVPDTW,-5.9
356,AVPEWR,-6.0
357,AVPIAD,-9.666666666666666
358,AVPORD,11.2
359,AVPPHL,-1.0
360,AZABIL,-2.0
361,AZABIS,-30.0
362,AZABLI,7.25
363,AZABZN,33.0
364,AZACID,-20.0
365,AZACVG,-21.0
366,AZADSM,-4.0
367,AZAFAR,3.3333333333333335
368,AZAFCA,2.0
369,AZAFSD,-7.0
370,AZAFWA,-2.5
371,AZAGFK,10.0
372,AZAGRI,5.0
373,AZAGTF,5.0
374,AZAICT,5.0
375,AZAIDA,-9.25
376,AZALAS,-15.0
377,AZAMCI,-21.0
378,AZAMFE,3.0
379,AZAMLI,5.0
380,AZAMOT,6.0
381,AZAMSO,-15.0
382,AZAOAK,11.25
383,AZAOGD,7.5
384,AZAPIA,17.0
385,AZAPIE,-27.0
386,AZAPSC,9.0
387,AZAPVU,5.0
388,AZARAP,-14.0
389,AZARFD,29.666666666666668
390,AZASBN,-2.0
391,AZASCK,8.0
392,AZASDF,-13.0
393,AZASGF,3.0
394,AZASTC,-24.0
395,AZODTW,-7.555555555555555
396,AZOMSP,9.8
397,AZOORD,-8.842105263157896
398,BDLATL,-13.565217391304348
399,BDLBWI,6.6923076923076925
400,BDLCLE,-3.5
401,BDLCLT,-0.7333333333333333
402,BDLCVG,-16.285714285714285
403,BDLDCA,-2.8823529411764706
404,BDLDEN,-0.25
405,BDLDFW,22.8
406,BDLDTW,-10.692307692307692
407,BDLEWR,14.5
408,BDLFLL,6.791666666666667
409,BDLIAD,-8.153846153846153
410,BDLIAH,16.666666666666668
411,BDLLAS,21.0
412,BDLLAX,-3.5
413,BDLMCO,0.7142857142857143
414,BDLMDW,6.923076923076923
415,BDLMIA,-14.285714285714286
416,BDLMSP,-4.5
417,BDLMYR,-5.0
418,BDLORD,3.5294117647058822
419,BDLPBI,-4.0
420,BDLPHL,-8.826086956521738
421,BDLRDU,-0.25
422,BDLRSW,-10.5
423,BDLSJU,-0.75
424,BDLSTL,-0.6666666666666666
425,BDLTPA,4.8125
426,BETANC,-1.875
427,BFFDEN,-20.125
428,BFLDEN,8.6
429,BFLPHX,7.6923076923076925
430,BFLSFO,1.0
431,BGMDTW,-10.125
432,BGRCLT,-4.0
433,BGRDCA,-8.181818181818182
434,BGREWR,-7.076923076923077
435,BGRJFK,6.333333333333333
436,BGRLGA,-6.0
437,BGRORD,33.25
438,BGRPHL,-2.2
439,BGRPIE,-14.0
440,BGRSFB,9.0
441,BHMATL,4.102564102564102
442,BHMBWI,7.857142857142857
443,BHMCLT,1.3225806451612903
444,BHMDAL,3.0
445,BHMDCA,-5.0
446,BHMDEN,-9.333333333333334
447,BHMDFW,3.357142857142857
448,BHMDTW,-0.6923076923076923
449,BHMHOU,1.6666666666666667
450,BHMIAH,-0.6875
451,BHMLAS,23.0
452,BHMLGA,4.0
453,BHMMCO,5.470588235294118
454,BHMMDW,7.125
455,BHMMIA,-6.333333333333333
456,BHMORD,-0.7
457,BHMPHL,17.545454545454547
458,BHMTPA,-2.8181818181818183
459,BILAZA,-8.0
460,BILDEN,-7.0
461,BILDFW,0.6
462,BILLAS,1.3333333333333333
463,BILMSP,-5.833333333333333
464,BILPDX,-0.42857142857142855
465,BILSEA,-3.6666666666666665
466,BILSLC,-6.75
467,BISAZA,4.0
468,BISDEN,-2.72
469,BISDFW,-7.428571428571429
470,BISMSP,-4.523809523809524
471,BISORD,2.3
472,BISSFB,15.0
473,BJIMSP,-11.181818181818182
474,BKGDEN,-14.0
475,BKGDFW,-17.0
476,BLIANC,-4.0
477,BLIDEN,16.0
478,BLILAS,-18.857142857142858
479,BLILAX,-8.0
480,BLIOAK,-3.8
481,BLIOGG,-40.0
482,BLIPDX,-9.666666666666666
483,BLIPSP,-14.6
484,BLISAN,8.0
485,BLISEA,7.967741935483871
486,BLVJAX,10.0
487,BLVLAS,11.0
488,BLVMYR,-23.0
489,BLVPGD,0.75
490,BLVPIE,-8.666666666666666
491,BLVVPS,5.666666666666667
492,BMIATL,-4.647058823529412
493,BMIDEN,-17.0
494,BMIDFW,7.6
495,BMIMCO,-29.0
496,BMIMSP,-1.0
497,BMIORD,9.2
498,BMIPIE,11.0
499,BNAABE,-11.0
500,BNAATL,-4.1568627450980395
501,BNAAUS,4.7
502,BNABOS,2.9166666666666665
503,BNABWI,-3.193548387096774
504,BNACHS,4.333333333333333
505,BNACLE,4.352941176470588
506,BNACLT,-3.1794871794871793
507,BNACMH,5.777777777777778
508,BNACVG,-11.0
509,BNADAL,11.56
510,BNADCA,-0.26666666666666666
511,BNADEN,3.5
512,BNADFW,5.638888888888889
513,BNADTW,-4.0476190476190474
514,BNAECP,5.75
515,BNAEWR,0.5588235294117647
516,BNAFLL,4.166666666666667
517,BNAHOU,-3.272727272727273
518,BNAIAD,2.4615384615384617
519,BNAIAH,-0.8275862068965517
520,BNAJAX,15.416666666666666
521,BNAJFK,4.944444444444445
522,BNALAS,0.0
523,BNALAX,1.7777777777777777
524,BNALGA,1.9591836734693877
525,BNAMCI,8.307692307692308
526,BNAMCO,1.5806451612903225
527,BNAMDT,-4.0
528,BNAMDW,8.67741935483871
529,BNAMIA,9.285714285714286
530,BNAMKE,-3.7777777777777777
531,BNAMSP,-10.52
532,BNAMSY,5.5
533,BNAMYR,39.0
534,BNAOAK,-13.714285714285714
535,BNAORD,1.2
536,BNAPGD,-5.5
537,BNAPHL,4.238095238095238
538,BNAPHX,7.933333333333334
539,BNAPIE,38.0
540,BNAPIT,1.2
541,BNAPNS,3.0
542,BNARDU,-1.542857142857143
543,BNARIC,28.0
544,BNARSW,18.0
545,BNASAN,0.3
546,BNASAT,-2.5454545454545454
547,BNASEA,-2.611111111111111
548,BNASFO,-3.8
549,BNASJC,2.0
550,BNASLC,-0.4444444444444444
551,BNASTL,3.75
552,BNATPA,3.375
553,BNAVPS,-17.0
554,BOIAZA,26.0
555,BOIDEN,2.3076923076923075
556,BOIDFW,-12.555555555555555
557,BOIGEG,-6.0
558,BOIIAH,9.0
559,BOILAS,0.7647058823529411
560,BOILAX,0.47058823529411764
561,BOILWS,-8.0
562,BOIMSP,14.636363636363637
563,BOIOAK,9.285714285714286
564,BOIORD,4.9411764705882355
565,BOIPDX,3.185185185185185
566,BOIPHX,5.7
567,BOIRNO,-17.5
568,BOISAN,4.5
569,BOISEA,2.219178082191781
570,BOISFO,-3.05
571,BOISJC,-1.6
572,BOISLC,-1.6071428571428572
573,BOISMF,-2.8333333333333335
574,BOSATL,0.08045977011494253
575,BOSAUS,9.055555555555555
576,BOSBNA,-0.05
577,BOSBUF,0.8
578,BOSBUR,-0.5
579,BOSBWI,2.573170731707317
580,BOSCHS,-7.2727272727272725
581,BOSCLE,-7.884615384615385
582,BOSCLT,3.1463414634146343
583,BOSCMH,-6.476190476190476
584,BOSCVG,-13.166666666666666
585,BOSDAL,19.0
586,BOSDCA,0.08421052631578947
587,BOSDEN,-2.7906976744186047
588,BOSDFW,1.3035714285714286
589,BOSDTW,-0.9130434782608695
590,BOSEWR,0.3508771929824561
591,BOSFLL,4.909090909090909
592,BOSHNL,17.5
593,BOSHOU,4.428571428571429
594,BOSIAD,5.5
595,BOSIAH,4.4375
596,BOSIND,2.272727272727273
597,BOSJAX,15.157894736842104
598,BOSJFK,3.4285714285714284
599,BOSLAS,0.8571428571428571
600,BOSLAX,-2.210526315789474
601,BOSLGA,-0.672566371681416
602,BOSLGB,-2.25
603,BOSMCI,-6.5
604,BOSMCO,3.2758620689655173
605,BOSMDT,11.75
606,BOSMDW,-5.642857142857143
607,BOSMIA,-5.090909090909091
608,BOSMKE,-1.5
609,BOSMSP,-1.2352941176470589
610,BOSMSY,3.3333333333333335
611,BOSMVY,-0.5
612,BOSMYR,3.75
613,BOSORD,1.5096153846153846
614,BOSORF,-0.5
615,BOSPBI,10.64864864864865
616,BOSPDX,20.285714285714285
617,BOSPHL,0.7121212121212122
618,BOSPHX,2.388888888888889
619,BOSPIT,-1.027027027027027
620,BOSPSP,-6.0
621,BOSRDU,-0.19607843137254902
622,BOSRIC,3.21875
623,BOSROC,-1.8461538461538463
624,BOSRSW,-0.5454545454545454
625,BOSSAN,4.6
626,BOSSAV,-9.0
627,BOSSEA,0.65625
628,BOSSFO,6.651515151515151
629,BOSSJC,60.0
630,BOSSJU,1.4
631,BOSSLC,9.285714285714286
632,BOSSRQ,-14.8
633,BOSSTL,2.6666666666666665
634,BOSSTT,-15.0
635,BOSSYR,2.9
636,BOSTPA,1.4516129032258065
637,BPTDFW,7.214285714285714
638,BQKATL,-3.3636363636363638
639,BQNEWR,9.0
640,BQNFLL,11.7
641,BQNJFK,-26.333333333333332
642,BQNMCO,-4.2727272727272725
643,BRDMSP,-10.5
644,BRODFW,1.411764705882353
645,BROIAH,-10.266666666666667
646,BRWANC,-10.0
647,BRWFAI,6.0
648,BTMSLC,-7.666666666666667
649,BTRATL,2.9565217391304346
650,BTRCLT,-6.454545454545454
651,BTRDFW,1.878787878787879
652,BTRIAH,-4.814814814814815
653,BTVATL,-4.166666666666667
654,BTVCLT,-5.181818181818182
655,BTVDCA,-6.111111111111111
656,BTVDEN,9.0
657,BTVDTW,-7.818181818181818
658,BTVEWR,2.3076923076923075
659,BTVIAD,-0.07692307692307693
660,BTVJFK,-6.045454545454546
661,BTVLGA,-8.142857142857142
662,BTVORD,-0.16666666666666666
663,BTVPHL,13.333333333333334
664,BUFATL,4.166666666666667
665,BUFBOS,10.478260869565217
666,BUFBWI,-6.642857142857143
667,BUFCLT,-4.833333333333333
668,BUFDCA,2.75
669,BUFDEN,-3.25
670,BUFDFW,7.5
671,BUFDTW,-1.5
672,BUFEWR,8.428571428571429
673,BUFFLL,-7.857142857142857
674,BUFIAD,0.6
675,BUFJFK,-6.257142857142857
676,BUFLAS,-10.5
677,BUFLAX,-4.0
678,BUFLGA,1.4444444444444444
679,BUFMCO,-0.6111111111111112
680,BUFMDW,-7.625
681,BUFMSP,-19.0
682,BUFORD,-3.358974358974359
683,BUFPHL,7.0
684,BUFPHX,-0.6666666666666666
685,BUFRDU,14.0
686,BUFRSW,-25.0
687,BUFTPA,0.5384615384615384
688,BURBOS,-16.333333333333332
689,BURDAL,-8.0
690,BURDEN,2.3846153846153846
691,BURDFW,-2.0
692,BURJFK,3.8
693,BURLAS,4.480769230769231
694,BURMDW,17.0
695,BUROAK,3.358974358974359
696,BURPDX,-4.6923076923076925
697,BURPHX,-1.2
698,BURSEA,6.166666666666667
699,BURSFO,6.434782608695652
700,BURSJC,0.41818181818181815
701,BURSLC,-0.6818181818181818
702,BURSMF,0.09090909090909091
703,BWIABQ,36.5
704,BWIALB,5.6
705,BWIATL,1.0952380952380953
706,BWIAUS,0.0
707,BWIAVL,19.0
708,BWIBDL,7.181818181818182
709,BWIBHM,5.5
710,BWIBNA,-1.2352941176470589
711,BWIBOS,1.4074074074074074
712,BWIBUF,1.3636363636363635
713,BWICHS,8.157894736842104
714,BWICLE,-2.0833333333333335
715,BWICLT,3.473684210526316
716,BWICMH,-5.5
717,BWICVG,2.1176470588235294
718,BWIDAL,4.833333333333333
719,BWIDEN,0.92
720,BWIDFW,3.6
721,BWIDTW,6.5
722,BWIECP,34.0
723,BWIEWR,13.571428571428571
724,BWIFLL,2.816666666666667
725,BWIGRR,2.3333333333333335
726,BWIHOU,-4.913043478260869
727,BWIIAH,11.461538461538462
728,BWIIND,7.888888888888889
729,BWIISP,8.947368421052632
730,BWIJAX,5.1
731,BWIJFK,8.304347826086957
732,BWILAS,2.9545454545454546
733,BWILAX,-0.5135135135135135
734,BWIMCI,7.111111111111111
735,BWIMCO,0.05454545454545454
736,BWIMDW,3.129032258064516
737,BWIMEM,16.5
738,BWIMHT,4.72
739,BWIMIA,-15.5
740,BWIMKE,3.3333333333333335
741,BWIMSP,-1.5714285714285714
742,BWIMSY,6.333333333333333
743,BWIMYR,-2.6
744,BWIOAK,1.8333333333333333
745,BWIOKC,-26.5
746,BWIORD,-0.225
747,BWIORF,0.8
748,BWIPBI,4.533333333333333
749,BWIPDX,-9.0
750,BWIPHL,-0.8181818181818182
751,BWIPHX,4.785714285714286
752,BWIPIT,-4.0
753,BWIPVD,3.259259259259259
754,BWIPWM,4.846153846153846
755,BWIRDU,8.227272727272727
756,BWIROC,-3.0
757,BWIRSW,-1.5294117647058822
758,BWISAN,-0.6
759,BWISAT,0.6
760,BWISDF,2.6
761,BWISEA,1.3333333333333333
762,BWISFO,-5.545454545454546
763,BWISJC,-15.75
764,BWISJU,-10.571428571428571
765,BWISLC,-3.5
766,BWISMF,24.333333333333332
767,BWISTL,-0.5333333333333333
768,BWITPA,1.525
769,BWITYS,-2.0
770,BZNATL,10.666666666666666
771,BZNAZA,-5.0
772,BZNDEN,-0.21428571428571427
773,BZNDFW,-1.875
774,BZNEWR,-11.0
775,BZNIAH,-18.0
776,BZNLAS,20.0
777,BZNLAX,5.0
778,BZNMSP,-10.75
779,BZNORD,5.2
780,BZNPDX,-15.25
781,BZNSEA,-4.916666666666667
782,BZNSFO,-19.0
783,BZNSLC,0.09090909090909091
784,CAEATL,-0.16216216216216217
785,CAECLT,-2.4571428571428573
786,CAEDCA,0.0
787,CAEDFW,1.8333333333333333
788,CAEIAD,3.2222222222222223
789,CAEIAH,-1.0
790,CAELGA,-15.6
791,CAEORD,1.0
792,CAEPHL,-0.7
793,CAKATL,-7.0
794,CAKCLT,-5.964285714285714
795,CAKDCA,5.5
796,CAKDTW,-7.0
797,CAKEWR,7.571428571428571
798,CAKIAH,6.8
799,CAKLGA,9.0
800,CAKMCO,-1.3333333333333333
801,CAKORD,1.5833333333333333
802,CAKPHL,4.0
803,CDCSLC,-5.909090909090909
804,CDVANC,14.4
805,CDVYAK,-13.0
806,CGIORD,25.0
807,CGIPAH,-11.666666666666666
808,CHAATL,-0.8648648648648649
809,CHACLT,-10.5
810,CHADCA,-2.5
811,CHADFW,-2.5714285714285716
812,CHADTW,-6.7272727272727275
813,CHAEWR,0.2
814,CHAIAD,13.5
815,CHALGA,-4.0
816,CHAORD,-2.9166666666666665
817,CHAPHL,-25.0
818,CHAPIE,-4.0
819,CHASFB,4.0
820,CHOATL,-12.928571428571429
821,CHOCLT,-2.6
822,CHOIAD,-1.2857142857142858
823,CHOLGA,12.523809523809524
824,CHOORD,9.8
825,CHOPHL,12.625
826,CHSATL,-3.27027027027027
827,CHSBNA,19.0
828,CHSBOS,3.0
829,CHSBWI,7.0
830,CHSCLT,3.975
831,CHSCVG,17.0
832,CHSDAL,-2.6666666666666665
833,CHSDCA,2.1481481481481484
834,CHSDEN,6.333333333333333
835,CHSDFW,13.2
836,CHSDTW,-8.125
837,CHSEWR,0.2
838,CHSFLL,-5.5
839,CHSHOU,-9.0
840,CHSIAD,-1.8461538461538463
841,CHSIAH,-0.1111111111111111
842,CHSJFK,-6.190476190476191
843,CHSLGA,-13.11111111111111
844,CHSMDW,-7.7
845,CHSMIA,5.111111111111111
846,CHSMSP,10.0
847,CHSORD,6.588235294117647
848,CHSPHL,-5.933333333333334
849,CHSPIT,-4.0
850,CHSSEA,-18.0
851,CHSTTN,6.0
852,CIDATL,-1.9
853,CIDAZA,10.0
854,CIDCLT,-0.75
855,CIDDEN,5.75
856,CIDDFW,-6.428571428571429
857,CIDDTW,1.5
858,CIDLAS,0.5
859,CIDMCO,-18.0
860,CIDMSP,-0.09090909090909091
861,CIDORD,2.72972972972973
862,CIDPIE,5.0
863,CIDSFB,10.0
864,CIUDTW,-4.0
865,CIUMSP,-13.333333333333334
866,CKBIAD,16.75
867,CKBORD,9.142857142857142
868,CKBSFB,-4.333333333333333
869,CLEATL,-2.4146341463414633
870,CLEAUS,-13.0
871,CLEBDL,-6.0
872,CLEBNA,-0.5
873,CLEBOS,-0.23333333333333334
874,CLEBWI,-2.3333333333333335
875,CLECHS,-6.0
876,CLECLT,-0.4473684210526316
877,CLEDCA,-4.083333333333333
878,CLEDEN,-7.777777777777778
879,CLEDFW,3.5185185185185186
880,CLEDTW,-9.31578947368421
881,CLEEWR,2.55
882,CLEFLL,-7.571428571428571
883,CLEIAD,1.3333333333333333
884,CLEIAH,1.206896551724138
885,CLEJAX,5.0
886,CLEJFK,-7.413793103448276
887,CLELAS,2.6
888,CLELAX,-10.125
889,CLELGA,8.784313725490197
890,CLEMCO,2.3043478260869565
891,CLEMDW,1.9230769230769231
892,CLEMIA,-2.909090909090909
893,CLEMKE,-9.125
894,CLEMSP,-4.407407407407407
895,CLEMSY,2.0
